0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.2759518,0.2757294,0.26020908,0.26094976,0.26570433,0.251748,0.22813834,0.24704134,0.25512207,0.2630008,0.2569448,0.25830418,0.2709696,0.22784667,0.27302507,0.25420666
0.22420773,0.23410377,0.21755187,0.21948294,0.2399642,0.22298147,0.21520981,0.21020952,0.21569386,0.23095435,0.22562203,0.22003986,0.23139587,0.20593467,0.23949455,0.23259725
0.2401022,0.24760468,0.25470236,0.2529079,0.24348798,0.2411959,0.23246084,0.23834692,0.23445983,0.25402772,0.23205276,0.24612968,0.24945055,0.21438517,0.26072058,0.24387558
0.3525409,0.2672243,0.34784028,0.2715194,0.33439025,0.35129216,0.322524,0.35965592,0.28798866,0.3439362,0.33779013,0.2792452,0.3078136,0.22427033,0.30165827,0.35690477
0.28315094,0.27297884,0.35082293,0.2613466,0.3271984,0.299923,0.29613385,0.30642405,0.35373446,0.32492867,0.31899232,0.30212176,0.34453875,0.25585872,0.36031753,0.30396858
0.18464804,0.21181786,0.15218866,0.20840888,0.17042436,0.18490659,0.14948049,0.18565348,0.1640882,0.17983523,0.17676988,0.20548853,0.19671,0.173557,0.18210463,0.17646885
0.2504991,0.2688679,0.24856937,0.25705087,0.26016468,0.24630038,0.23891477,0.2516503,0.2512501,0.25973064,0.24573083,0.24695027,0.25942045,0.23401518,0.26988906,0.25390986
0.15131073,0.15383984,0.14158234,0.18181337,0.15308839,0.17329082,0.120029435,0.121287055,0.14143875,0.1530909,0.14265905,0.14746104,0.14006077,0.14958352,0.1674394,0.13637735
0.25462344,0.2634091,0.28120434,0.3001403,0.260508,0.28092512,0.24262406,0.21810909,0.27257717,0.2901837,0.2544111,0.30486706,0.30198187,0.29404807,0.2751605,0.30056384
0.25616303,0.21549314,0.19661088,0.21573013,0.23456568,0.23664954,0.21128051,0.18318595,0.19478601,0.22691618,0.21678549,0.2228594,0.22275014,0.18615074,0.2295552,0.21500269
0.2951155,0.32569987,0.33796284,0.2984064,0.34065196,0.31658167,0.28178996,0.329809,0.33818692,0.28813145,0.3493194,0.33886418,0.3917397,0.25035858,0.3686679,0.3065858
