0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.3379083,0.29864755,0.36969954,0.37268212,0.36393228,0.365058,0.29831055,0.34272754,0.279783,0.37858382,0.37563846,0.34339958,0.34614757,0.35912752,0.37826604,0.42777082
0.31220794,0.32590333,0.3376753,0.42667186,0.42938912,0.32422912,0.42589897,0.3695653,0.3267687,0.39447463,0.3986445,0.33617213,0.46218076,0.3152641,0.44396117,0.38283297
0.20104058,0.19730355,0.23802051,0.25425273,0.20664445,0.14032331,0.19028465,0.23741253,0.17789185,0.22932072,0.19471914,0.21303391,0.18908024,0.19499585,0.21328747,0.251509
0.26347408,0.3030959,0.37085268,0.33614522,0.25626367,0.2526782,0.35347295,0.37456247,0.2310003,0.28880915,0.39535362,0.32918707,0.2955117,0.30581796,0.35255158,0.3246524
0.149935,0.106678255,0.19991288,0.1856062,0.20088662,0.17140864,0.1744084,0.19942547,0.17197303,0.16499983,0.16520752,0.18775447,0.15052822,0.16320367,0.2351702,0.19117013
0.3368943,0.31495473,0.33988962,0.3600881,0.38728377,0.35563836,0.32809016,0.31512296,0.3584341,0.38270873,0.3574786,0.34152588,0.31653947,0.3074829,0.3599676,0.38355985
0.2831268,0.2303431,0.3145637,0.2380329,0.3103999,0.2353998,0.32306513,0.22760727,0.29172057,0.25481576,0.33733112,0.2326072,0.28567597,0.26015034,0.29187277,0.25905615
0.3868795,0.3370561,0.40410215,0.3626222,0.36176708,0.40036923,0.3882403,0.2820681,0.32610956,0.2766078,0.4246844,0.3031432,0.39890417,0.2900154,0.36227563,0.38102314
0.2732089,0.2722082,0.25879887,0.29789454,0.2520041,0.17931804,0.30442733,0.26588136,0.24005584,0.3037068,0.29832086,0.32012832,0.2776738,0.22546513,0.25114518,0.2239201
0.24902168,0.28373587,0.2891232,0.32161298,0.1993649,0.2631025,0.30342007,0.28348097,0.29209083,0.23759109,0.23896663,0.2845049,0.27366942,0.2900246,0.3590322,0.25858992
0.40366122,0.4590611,0.42487407,0.46999818,0.46468538,0.50719064,0.33914775,0.3947419,0.36047912,0.5244125,0.5252511,0.5074246,0.38801172,0.47250852,0.39392358,0.54719
0.2632986,0.25260738,0.2695873,0.31915218,0.2907414,0.27335626,0.31086648,0.30067238,0.26926923,0.29441074,0.29991534,0.30947113,0.3100939,0.27328187,0.3054619,0.3075379
0.2544874,0.27016845,0.33454907,0.30704045,0.3681303,0.3158037,0.30481634,0.33710635,0.3143964,0.33228117,0.33276376,0.30681944,0.34363544,0.27770004,0.3808004,0.30740812
0.31036633,0.2888874,0.3845743,0.4278306,0.40166584,0.38479677,0.3615989,0.3694292,0.26572776,0.3988516,0.36789358,0.3521988,0.33957598,0.36977956,0.31331235,0.42554507
0.24153009,0.2322326,0.27155194,0.24718453,0.21831071,0.23673572,0.24974605,0.28910744,0.21460819,0.26326486,0.2764204,0.23310351,0.25579834,0.23327877,0.28179675,0.22598366
0.30047658,0.29205284,0.35307828,0.27673602,0.40141627,0.27056056,0.2375443,0.36869898,0.28982648,0.2939811,0.3465887,0.323541,0.33010834,0.32262677,0.3466489,0.29029143
0.22343372,0.2405263,0.29888606,0.23271814,0.24586417,0.24159837,0.22697952,0.3086355,0.26356107,0.28262094,0.27011818,0.26694596,0.2783099,0.2523628,0.27532378,0.26118174
0.35500547,0.3407708,0.38314465,0.39925483,0.3979149,0.49553305,0.44647852,0.3294966,0.40041247,0.42244658,0.38819036,0.3828944,0.36048284,0.3774861,0.45249262,0.39073738
0.27693236,0.33299136,0.2557112,0.31550175,0.34238222,0.32957578,0.38912237,0.35783178,0.33405545,0.29954717,0.36890075,0.36337274,0.33178806,0.32482708,0.33414862,0.3709746
0.36071375,0.2965746,0.24479888,0.30188227,0.31849888,0.46686974,0.30810782,0.32415858,0.31898233,0.45525017,0.44019347,0.25848433,0.30486435,0.3475488,0.4086114,0.4867578
0.28115755,0.1725505,0.25864178,0.27319127,0.2593314,0.30022782,0.25826192,0.3153327,0.26468778,0.31557944,0.27289912,0.23992173,0.26903465,0.2805242,0.27862152,0.28833982
0.18536806,0.19066083,0.21003619,0.20893213,0.21487138,0.21773373,0.23543979,0.224888,0.20931704,0.23057929,0.25804952,0.16412845,0.19582683,0.2218118,0.23485476,0.22580446
0.40551755,0.40969348,0.38568696,0.36241308,0.4342512,0.4232689,0.4023575,0.32474664,0.3886059,0.42637923,0.4148228,0.39608604,0.37794432,0.38582367,0.4427515,0.32605353
0.26774523,0.23859623,0.2568398,0.26323423,0.31904185,0.32408613,0.30951676,0.26099756,0.26949576,0.28431594,0.29850477,0.31942797,0.2771077,0.29101288,0.27442905,0.33264875
0.30374134,0.2988722,0.32128704,0.3208001,0.31961992,0.2910887,0.34525228,0.33925194,0.31986323,0.35638368,0.33116683,0.3083821,0.2966485,0.30889198,0.27841863,0.24897034
0.35193092,0.3697532,0.3619139,0.41825253,0.37893653,0.5034064,0.3733826,0.32175878,0.36958095,0.2777446,0.44333354,0.35687605,0.37485683,0.41298735,0.43607664,0.3142649
0.22517224,0.20231973,0.20523585,0.22775093,0.22688332,0.19428705,0.25294453,0.19458084,0.18892822,0.23800357,0.24944939,0.24010754,0.24148233,0.2062699,0.2666964,0.25347832
0.22746214,0.19694276,0.20389313,0.20253818,0.21203265,0.22435077,0.22065036,0.21405683,0.21794268,0.21932852,0.24034972,0.21852675,0.17950192,0.22002737,0.2530108,0.23753795
